condition,seed,view,feature_name,feature_index,mean_abs_shap,normalized_importance,rank,source_npz,aggregation_method,status,notes
Gear_20_0,49,channel,ch4,2,0.00252845841659,0.145410267208,6,CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,49,channel,ch6,3,0.00299925986356,0.17248580215,3,CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,49,channel,ch7,4,0.00300454296245,0.172789630291,2,CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,49,channel,ch8,5,0.00303076107957,0.174297419935,1,CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,49,frequency,cA5,0,0.00135788933777,0.103181314829,5,CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,49,frequency,cD5,1,0.00224691957592,0.170735648119,4,CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,49,frequency,cD4,2,0.00345352245386,0.262421228055,2,CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,49,frequency,cD3,3,0.00256162586517,0.1946490907,3,CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,49,frequency,cD2,4,0.00354026794971,0.269012718296,1,CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_30_2,49,channel,ch2,0,0.00264331054349,0.167574128715,3,CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
