condition,view,feature_name,mean_importance_across_seeds,std_importance_across_seeds,mean_rank,std_rank,topk_frequency,is_topk_shap,has_label_related_causal_edge,label_relation_type,edge_direction_to_label,consistency_type,evidence_strength,shap_source,edge_source,notes
Gear_20_0,frequency,cD4,0.249576694348,0.0168282378422,2,0,1.000000,True,False,none,none,high_shap_no_label_edge_potential_shortcut,moderate,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
Gear_20_0,frequency,cD5,0.165101073212,0.00864883979965,4,0,0.000000,False,True,label_to_feature,label->cD5,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,PC_Datasets/Seed_49/Gear_20_0.csv,topk_threshold=2; label_edges=1
Gear_30_2,channel,ch2,0.164140654952,0.00253143995773,3.6,0.8,0.600000,False,True,label_to_feature,label->ch2,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,PC_Datasets/Seed_49/Gear_30_2.csv,topk_threshold=2; label_edges=1
Gear_30_2,channel,ch3,0.162176045856,0.0135375940431,4.2,2.22710574513,0.400000,False,True,label_to_feature,label->ch3,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,PC_Datasets/Seed_49/Gear_30_2.csv,topk_threshold=2; label_edges=1
Gear_30_2,channel,ch4,0.170719290684,0.0165339758405,3.2,2.03960780544,0.600000,False,True,label_to_feature,label->ch4,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,PC_Datasets/Seed_49/Gear_30_2.csv,topk_threshold=2; label_edges=1
Gear_30_2,channel,ch6,0.161868686711,0.00729888708706,4.4,1.35646599663,0.200000,False,False,none,none,low_shap_no_label_edge_uninformative,moderate,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
Gear_30_2,channel,ch7,0.167404735077,0.006680418601,3.4,1.35646599663,0.400000,False,False,none,none,low_shap_no_label_edge_uninformative,moderate,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
Gear_30_2,channel,ch8,0.17369058672,0.00374841049289,2.2,0.979795897113,0.800000,False,False,none,none,low_shap_no_label_edge_uninformative,moderate,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
Gear_30_2,frequency,cA5,0.112799746356,0.00514644505638,5,0,0.000000,False,False,none,none,low_shap_no_label_edge_uninformative,moderate,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
Gear_30_2,frequency,cD2,0.289919378007,0.0023563796451,1,0,1.000000,True,True,label_to_feature,label->cD2,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,PC_Datasets/Seed_49/Gear_30_2.csv,topk_threshold=2; label_edges=1
Gear_30_2,frequency,cD3,0.2257124468,0.00676306400991,2,0,1.000000,True,True,label_to_feature,label->cD3,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,PC_Datasets/average/Gear_30_2.csv,topk_threshold=2; label_edges=1
Gear_30_2,frequency,cD4,0.21175449608,0.00510101665963,3,0,1.000000,False,True,label_to_feature,label->cD4,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,PC_Datasets/Seed_49/Gear_30_2.csv,topk_threshold=2; label_edges=1
Gear_30_2,frequency,cD5,0.159813932757,0.0052876788238,4,0,0.000000,False,True,label_to_feature,label->cD5,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,PC_Datasets/Seed_49/Gear_30_2.csv,topk_threshold=2; label_edges=1
